service_id,date,exception_type
C2@5,20250920,1
C2@5,20251012,1
C2@5,20251102,1
C2@5,20251115,1
C2@5,20251120,1
2576@5,20250920,1
2576@5,20251012,1
2576@5,20251102,1
2576@5,20251115,1
2576@5,20251120,1
264@5,20250920,1
264@5,20251012,1
264@5,20251102,1
264@5,20251115,1
264@5,20251120,1
397@5,20250920,1
397@5,20251012,1
397@5,20251102,1
397@5,20251115,1
397@5,20251120,1
6712@5,20250920,1
6712@5,20251012,1
6712@5,20251120,1
6712@5,20251102,1
6712@5,20251115,1
A09@5,20250920,1
A09@5,20251120,1
A09@5,20251115,1
A09@5,20251012,1
A09@5,20251102,1
289@5,20250920,1
T2@5,20250920,1
289@5,20251012,1
T2@5,20251012,1
289@5,20251120,1
T2@5,20251120,1
289@5,20251102,1
T2@5,20251102,1
289@5,20251115,1
T2@5,20251115,1
347@5,20250920,1
1493@5,20250920,1
347@5,20251012,1
1493@5,20251012,1
347@5,20251120,1
1493@5,20251120,1
347@5,20251102,1
1493@5,20251102,1
347@5,20251115,1
1493@5,20251115,1
O398@5,20250920,1
O398@5,20251012,1
O398@5,20251120,1
O398@5,20251102,1
O398@5,20251115,1
262@5,20250920,1
262@5,20251012,1
262@5,20251102,1
262@5,20251115,1
262@5,20251120,1
A348@5,20250920,1
A348@5,20251012,1
A348@5,20251102,1
A348@5,20251115,1
A348@5,20251120,1
2552@5,20250920,1
2552@5,20251012,1
2552@5,20251102,1
2552@5,20251115,1
2552@5,20251120,1
4944@5,20250920,1
4944@5,20251012,1
4944@5,20251102,1
4944@5,20251115,1
4944@5,20251120,1
3984@5,20250920,1
3984@5,20251012,1
3984@5,20251102,1
3984@5,20251115,1
3984@5,20251120,1
165@5,20250920,1
165@5,20251012,1
165@5,20251120,1
165@5,20251102,1
165@5,20251115,1
A87@5,20250920,1
A87@5,20251012,1
A87@5,20251102,1
A87@5,20251115,1
A87@5,20251120,1
C80@5,20250920,1
C80@5,20251012,1
C80@5,20251102,1
C80@5,20251115,1
C80@5,20251120,1
255@5,20250920,1
255@5,20251012,1
255@5,20251102,1
255@5,20251115,1
255@5,20251120,1
268@5,20250920,1
268@5,20251012,1
268@5,20251102,1
268@5,20251115,1
268@5,20251120,1
2731@5,20250920,1
2731@5,20251012,1
2731@5,20251102,1
2731@5,20251115,1
2731@5,20251120,1
209@5,20250920,1
209@5,20251012,1
209@5,20251102,1
209@5,20251115,1
209@5,20251120,1
7041@5,20250920,1
7041@5,20251012,1
7041@5,20251102,1
7041@5,20251115,1
7041@5,20251120,1
659@5,20250920,1
659@5,20251012,1
659@5,20251120,1
659@5,20251102,1
659@5,20251115,1
M681@5,20250920,1
M681@5,20251012,1
M681@5,20251102,1
M681@5,20251115,1
M681@5,20251120,1
A13@5,20250920,1
A13@5,20251012,1
A13@5,20251120,1
A13@5,20251102,1
A13@5,20251115,1
T2A2@5,20250920,1
T2A2@5,20251012,1
T2A2@5,20251120,1
T2A2@5,20251102,1
T2A2@5,20251115,1
10.3@2,20250920,2
10.5@2,20250920,2
20.4@2,20250920,2
50.1@2,20250920,2
50.6@2,20250920,2
60.5@2,20250920,2
10.6@2,20250920,2
168@2,20250920,2
171@2,20250920,2
1713@2,20250920,2
173@2,20250920,2
1841@2,20250920,2
251@2,20250920,2
2561@2,20250920,2
263@2,20250920,2
2631@2,20250920,2
264@2,20250920,2
2661@2,20250920,2
267@2,20250920,2
2675@2,20250920,2
2701@2,20250920,2
271@2,20250920,2
272@2,20250920,2
273@2,20250920,2
2731@2,20250920,2
2813@2,20250920,2
2814@2,20250920,2
2815@2,20250920,2
283@2,20250920,2
284@2,20250920,2
289@2,20250920,2
T12@2,20250920,2
3941@2,20250920,2
3943@2,20250920,2
3974@2,20250920,2
3981@2,20250920,2
3987@2,20250920,2
4291@2,20250920,2
433@2,20250920,2
436@2,20250920,2
439@2,20250920,2
494@2,20250920,2
T13@2,20250920,2
610@2,20250920,2
620@2,20250920,2
6371@2,20250920,2
6611@2,20250920,2
6612@2,20250920,2
6712@2,20250920,2
701@2,20250920,2
704@2,20250920,2
718@2,20250920,2
7612@2,20250920,2
815@2,20250920,2
A01@2,20250920,2
A28@2,20250920,2
A53@2,20250920,2
A621@2,20250920,2
A67@2,20250920,2
A841@2,20250920,2
A87@2,20250920,2
B091@2,20250920,2
B51@2,20250920,2
B55@2,20250920,2
B56@2,20250920,2
C3@2,20250920,2
D72@2,20250920,2
M31@2,20250920,2
M52@2,20250920,2
M98@2,20250920,2
R31@2,20250920,2
R5@2,20250920,2
R68@2,20250920,2
T1@2,20250920,2
T10@2,20250920,2
T22@2,20250920,2
T2A@2,20250920,2
T4@2,20250920,2
7052@2,20250920,2
6135@2,20250920,2
4923@2,20250920,2
A265@2,20250920,2
3752@2,20250920,2
3763@2,20250920,2
4321@2,20250920,2
621@5,20250920,1
621@5,20251012,1
621@5,20251102,1
621@5,20251115,1
621@5,20251120,1
251@5,20250920,1
251@5,20251012,1
251@5,20251102,1
251@5,20251115,1
251@5,20251120,1
624@5,20250920,1
624@5,20251012,1
624@5,20251102,1
624@5,20251115,1
624@5,20251120,1
T22@5,20250920,1
T22@5,20251012,1
T22@5,20251102,1
T22@5,20251115,1
T22@5,20251120,1
2441@5,20250920,1
2441@5,20251012,1
2441@5,20251115,1
2441@5,20251120,1
2441@5,20251102,1
3762@5,20250920,1
3762@5,20251012,1
3762@5,20251102,1
3762@5,20251115,1
3762@5,20251120,1
254@5,20250920,1
254@5,20251012,1
254@5,20251102,1
254@5,20251115,1
254@5,20251120,1
2701@5,20250920,1
2701@5,20251012,1
2701@5,20251102,1
2701@5,20251115,1
2701@5,20251120,1
173@5,20250920,1
173@5,20251012,1
173@5,20251102,1
173@5,20251115,1
173@5,20251120,1
282@5,20250920,1
282@5,20251012,1
282@5,20251102,1
282@5,20251115,1
282@5,20251120,1
398@5,20250920,1
398@5,20251012,1
398@5,20251120,1
398@5,20251102,1
398@5,20251115,1
470@5,20250920,1
470@5,20251012,1
470@5,20251102,1
470@5,20251115,1
470@5,20251120,1
344@5,20250920,1
344@5,20251012,1
344@5,20251102,1
344@5,20251115,1
344@5,20251120,1
2631@5,20250920,1
2631@5,20251012,1
2631@5,20251102,1
2631@5,20251115,1
2631@5,20251120,1
T12@5,20250920,1
T12@5,20251012,1
T12@5,20251102,1
T12@5,20251115,1
T12@5,20251120,1
M52@5,20250920,1
M52@5,20251012,1
M52@5,20251102,1
M52@5,20251115,1
M52@5,20251120,1
662@5,20250920,1
662@5,20251012,1
662@5,20251102,1
662@5,20251115,1
662@5,20251120,1
T8@5,20250920,1
T8@5,20251012,1
T8@5,20251102,1
T8@5,20251115,1
T8@5,20251120,1
250@5,20250920,1
250@5,20251012,1
250@5,20251102,1
250@5,20251115,1
250@5,20251120,1
T6@5,20250920,1
T6@5,20251012,1
T6@5,20251102,1
T6@5,20251115,1
T6@5,20251120,1
632@5,20250920,1
632@5,20251012,1
632@5,20251102,1
632@5,20251115,1
632@5,20251120,1
2813@5,20250920,1
43322@5,20250920,1
2813@5,20251012,1
43322@5,20251012,1
2813@5,20251102,1
43322@5,20251102,1
2813@5,20251115,1
43322@5,20251115,1
2813@5,20251120,1
43322@5,20251120,1
216@5,20250920,1
216@5,20251012,1
216@5,20251102,1
216@5,20251115,1
216@5,20251120,1
T51@5,20250920,1
T51@5,20251012,1
T51@5,20251120,1
T51@5,20251102,1
T51@5,20251115,1
343@5,20250920,1
343@5,20251012,1
343@5,20251102,1
343@5,20251115,1
343@5,20251120,1
2801@5,20250920,1
T4@5,20250920,1
2801@5,20251012,1
T4@5,20251012,1
2801@5,20251102,1
T4@5,20251102,1
2801@5,20251115,1
T4@5,20251115,1
2801@5,20251120,1
T4@5,20251120,1
E178@5,20250920,1
E178@5,20251012,1
E178@5,20251102,1
E178@5,20251115,1
E178@5,20251120,1
620@5,20250920,1
620@5,20251012,1
620@5,20251120,1
620@5,20251102,1
620@5,20251115,1
652@5,20250920,1
652@5,20251012,1
652@5,20251102,1
652@5,20251115,1
652@5,20251120,1
10.4@2,20250920,2
20.2@2,20250920,2
30.2@2,20250920,2
40.4@2,20250920,2
02.11@2,20250920,2
1111@2,20250920,2
176@2,20250920,2
1792@2,20250920,2
244@2,20250920,2
2633@2,20250920,2
2671@2,20250920,2
268@2,20250920,2
2681@2,20250920,2
270@2,20250920,2
2721@2,20250920,2
2725@2,20250920,2
274@2,20250920,2
2741@2,20250920,2
280@2,20250920,2
2801@2,20250920,2
2802@2,20250920,2
282@2,20250920,2
3442@2,20250920,2
346@2,20250920,2
3481@2,20250920,2
353@2,20250920,2
3762@2,20250920,2
395@2,20250920,2
397@2,20250920,2
398@2,20250920,2
429@2,20250920,2
4292@2,20250920,2
4381@2,20250920,2
4921@2,20250920,2
4972@2,20250920,2
510@2,20250920,2
5202@2,20250920,2
615@2,20250920,2
617@2,20250920,2
6201@2,20250920,2
662@2,20250920,2
665@2,20250920,2
756@2,20250920,2
761@2,20250920,2
7621@2,20250920,2
862@2,20250920,2
A11@2,20250920,2
A13@2,20250920,2
A143@2,20250920,2
A15@2,20250920,2
A33@2,20250920,2
A842@2,20250920,2
A862@2,20250920,2
A93@2,20250920,2
A952@2,20250920,2
A953@2,20250920,2
A993@2,20250920,2
B01@2,20250920,2
B011@2,20250920,2
C31@2,20250920,2
C80@2,20250920,2
C802@2,20250920,2
D67@2,20250920,2
E32@2,20250920,2
G343@2,20250920,2
R9@2,20250920,2
T2@2,20250920,2
T2A1@2,20250920,2
T5@2,20250920,2
T52@2,20250920,2
2821@5,20250920,1
2821@5,20251012,1
2821@5,20251102,1
2821@5,20251115,1
2821@5,20251120,1
M31@5,20250920,1
M31@5,20251012,1
M31@5,20251102,1
M31@5,20251115,1
M31@5,20251120,1
T11@5,20250920,1
T11@5,20251012,1
T11@5,20251102,1
T11@5,20251115,1
T11@5,20251120,1
274@5,20250920,1
274@5,20251012,1
274@5,20251120,1
274@5,20251102,1
274@5,20251115,1
O627@5,20250920,1
O627@5,20251012,1
O627@5,20251102,1
O627@5,20251115,1
O627@5,20251120,1
286@5,20250920,1
286@5,20251012,1
286@5,20251102,1
286@5,20251115,1
286@5,20251120,1
4382@5,20250920,1
4382@5,20251012,1
4382@5,20251120,1
4382@5,20251102,1
4382@5,20251115,1
E703@5,20250920,1
E703@5,20251012,1
E703@5,20251102,1
E703@5,20251115,1
E703@5,20251120,1
2843@5,20250920,1
2843@5,20251012,1
2843@5,20251102,1
2843@5,20251115,1
2843@5,20251120,1
M98@5,20250920,1
M98@5,20251012,1
M98@5,20251102,1
M98@5,20251115,1
M98@5,20251120,1
M68@5,20250920,1
M68@5,20251012,1
M68@5,20251102,1
M68@5,20251115,1
M68@5,20251120,1
631@5,20250920,1
631@5,20251012,1
631@5,20251120,1
631@5,20251102,1
631@5,20251115,1
10.6@5,20250920,1
10.6@5,20251012,1
10.6@5,20251120,1
10.6@5,20251102,1
10.6@5,20251115,1
A991@5,20250920,1
A991@5,20251012,1
A991@5,20251120,1
A991@5,20251102,1
A991@5,20251115,1
2672@5,20250920,1
2672@5,20251012,1
2672@5,20251102,1
2672@5,20251115,1
2672@5,20251120,1
429@5,20250920,1
429@5,20251012,1
429@5,20251102,1
429@5,20251115,1
429@5,20251120,1
171@5,20250920,1
171@5,20251012,1
171@5,20251102,1
171@5,20251115,1
171@5,20251120,1
O491@5,20250920,1
O491@5,20251012,1
O491@5,20251120,1
O491@5,20251102,1
O491@5,20251115,1
A974@5,20250920,1
A974@5,20251012,1
A974@5,20251102,1
A974@5,20251115,1
A974@5,20251120,1
O662@5,20250920,1
O662@5,20251012,1
O662@5,20251102,1
O662@5,20251115,1
O662@5,20251120,1
704@5,20250920,1
6333@5,20250920,1
704@5,20251012,1
6333@5,20251012,1
704@5,20251102,1
6333@5,20251102,1
704@5,20251115,1
6333@5,20251115,1
704@5,20251120,1
6333@5,20251120,1
A48@5,20250920,1
A48@5,20251012,1
A48@5,20251102,1
A48@5,20251115,1
A48@5,20251120,1
627@5,20250920,1
627@5,20251012,1
627@5,20251102,1
627@5,20251115,1
627@5,20251120,1
4951@5,20250920,1
4951@5,20251012,1
4951@5,20251102,1
4951@5,20251115,1
4951@5,20251120,1
A19@5,20250920,1
A19@5,20251012,1
A19@5,20251102,1
A19@5,20251115,1
A19@5,20251120,1
O171@5,20250920,1
O171@5,20251012,1
O171@5,20251120,1
O171@5,20251102,1
O171@5,20251115,1
A74@5,20250920,1
A74@5,20251012,1
A74@5,20251102,1
A74@5,20251115,1
A74@5,20251120,1
2741@5,20250920,1
2741@5,20251012,1
2741@5,20251102,1
2741@5,20251115,1
2741@5,20251120,1
M10@5,20250920,1
M10@5,20251012,1
M10@5,20251102,1
M10@5,20251115,1
M10@5,20251120,1
3946@5,20250920,1
3946@5,20251012,1
3946@5,20251102,1
3946@5,20251115,1
3946@5,20251120,1
60.4@5,20250920,1
60.4@5,20251012,1
60.4@5,20251102,1
60.4@5,20251115,1
60.4@5,20251120,1
60.5@5,20250920,1
60.5@5,20251012,1
60.5@5,20251102,1
60.5@5,20251115,1
60.5@5,20251120,1
7052@5,20250920,1
7052@5,20251012,1
7052@5,20251102,1
7052@5,20251115,1
7052@5,20251120,1
210@5,20250920,1
210@5,20251012,1
210@5,20251120,1
210@5,20251102,1
210@5,20251115,1
189@5,20250920,1
189@5,20251012,1
189@5,20251102,1
189@5,20251115,1
189@5,20251120,1
30.2@5,20250920,1
30.2@5,20251012,1
30.2@5,20251102,1
30.2@5,20251115,1
30.2@5,20251120,1
6135@5,20250920,1
6135@5,20251012,1
6135@5,20251120,1
6135@5,20251102,1
6135@5,20251115,1
60.4@2,20250920,2
50.31@2,20250920,2
1714@2,20250920,2
188@2,20250920,2
210@2,20250920,2
211@2,20250920,2
253@2,20250920,2
2531@2,20250920,2
254@2,20250920,2
262@2,20250920,2
266@2,20250920,2
2672@2,20250920,2
2693@2,20250920,2
2694@2,20250920,2
2723@2,20250920,2
2733@2,20250920,2
2816@2,20250920,2
2821@2,20250920,2
2843@2,20250920,2
286@2,20250920,2
345@2,20250920,2
349@2,20250920,2
3491@2,20250920,2
3945@2,20250920,2
495@2,20250920,2
4951@2,20250920,2
605@2,20250920,2
613@2,20250920,2
6321@2,20250920,2
633@2,20250920,2
6562@2,20250920,2
6625@2,20250920,2
721@2,20250920,2
727@2,20250920,2
7271@2,20250920,2
4382@2,20250920,2
A27@2,20250920,2
SD72@2,20250920,2
4906@2,20250920,2
6102@2,20250920,2
O627@2,20250920,2
O662@2,20250920,2
A955@2,20250920,2
3953@2,20250920,2
2576@2,20250920,2
25612@2,20250920,2
A931@2,20250920,2
43311@2,20250920,2
49231@2,20250920,2
49232@2,20250920,2
4953@2,20250920,2
EM011@2,20250920,2
10.63@2,20250920,2
20.2@3,20251012,2
50.1@3,20251012,2
50.2@3,20251012,2
50.6@3,20251012,2
60.5@3,20251012,2
179@3,20251012,2
211@3,20251012,2
212@3,20251012,2
214@3,20251012,2
216@3,20251012,2
250@3,20251012,2
2531@3,20251012,2
2542@3,20251012,2
256@3,20251012,2
2601@3,20251012,2
2602@3,20251012,2
2661@3,20251012,2
2674@3,20251012,2
270@3,20251012,2
272@3,20251012,2
2741@3,20251012,2
2801@3,20251012,2
2843@3,20251012,2
286@3,20251012,2
3442@3,20251012,2
345@3,20251012,2
3481@3,20251012,2
3944@3,20251012,2
3945@3,20251012,2
3972@3,20251012,2
3974@3,20251012,2
3983@3,20251012,2
3987@3,20251012,2
4291@3,20251012,2
4381@3,20251012,2
439@3,20251012,2
441@3,20251012,2
476@3,20251012,2
495@3,20251012,2
4952@3,20251012,2
520@3,20251012,2
620@3,20251012,2
627@3,20251012,2
632@3,20251012,2
6371@3,20251012,2
659@3,20251012,2
661@3,20251012,2
6625@3,20251012,2
6712@3,20251012,2
702@3,20251012,2
704@3,20251012,2
761@3,20251012,2
855@3,20251012,2
A09@3,20251012,2
A62@3,20251012,2
A621@3,20251012,2
A67@3,20251012,2
A87@3,20251012,2
B02@3,20251012,2
B021@3,20251012,2
B511@3,20251012,2
B56@3,20251012,2
E30@3,20251012,2
E33@3,20251012,2
F04@3,20251012,2
G343@3,20251012,2
M10@3,20251012,2
M31@3,20251012,2
R4@3,20251012,2
T10@3,20251012,2
T23@3,20251012,2
T61@3,20251012,2
T61A@3,20251012,2
A05@3,20251012,2
6333@3,20251012,2
4944@3,20251012,2
3462@3,20251012,2
A288@3,20251012,2
TR32@3,20251012,2
4924@3,20251012,2
2573@3,20251012,2
4382@3,20251012,2
1493@3,20251012,2
6372@3,20251012,2
A21@3,20251012,2
SD73@3,20251012,2
4906@3,20251012,2
GT31@3,20251012,2
6102@3,20251012,2
C22@3,20251012,2
3953@3,20251012,2
2576@3,20251012,2
A48@3,20251012,2
4411@3,20251012,2
A20@3,20251012,2
7042@3,20251012,2
25611@3,20251012,2
25613@3,20251012,2
A932@3,20251012,2
E703@3,20251012,2
1106@3,20251012,2
10.63@3,20251012,2
20.2@3,20251102,2
50.1@3,20251102,2
50.2@3,20251102,2
50.6@3,20251102,2
60.5@3,20251102,2
179@3,20251102,2
211@3,20251102,2
212@3,20251102,2
214@3,20251102,2
216@3,20251102,2
250@3,20251102,2
2531@3,20251102,2
2542@3,20251102,2
256@3,20251102,2
2601@3,20251102,2
2602@3,20251102,2
2661@3,20251102,2
2674@3,20251102,2
270@3,20251102,2
272@3,20251102,2
2741@3,20251102,2
2801@3,20251102,2
2843@3,20251102,2
286@3,20251102,2
3442@3,20251102,2
345@3,20251102,2
3481@3,20251102,2
3944@3,20251102,2
3945@3,20251102,2
