latitude,longitude,rwi,error
-1.5708481,-47.5817871,-0.391,0.369
-25.0358382,-52.8991699,-0.153,0.421
-23.6143282,-49.5812988,-0.460,0.402
-19.8390597,-40.8801270,0.122,0.445
-22.3399141,-46.4392090,0.230,0.416
-3.9409805,-38.8146973,-0.621,0.377
-21.8920839,-46.2854004,-0.486,0.457
-8.9393399,-35.5407715,-0.381,0.403
-29.5830112,-53.7780762,0.584,0.426
-14.8917045,-51.0754395,0.748,0.494
-29.6403199,-50.5700684,0.723,0.410
-20.5813670,-45.3845215,-0.476,0.451
-21.1767283,-43.7365723,-0.653,0.446
-7.8307313,-35.3430176,-0.423,0.421
-9.4598988,-43.2312012,-0.793,0.348
-21.4632931,-41.1877441,-0.022,0.436
-22.4008712,-45.7800293,1.031,0.463
-15.6547754,-43.0334473,-0.479,0.383
-5.0800010,-37.4963379,-0.638,0.403
-16.7729866,-42.0007324,-0.357,0.404
-3.8094460,-40.9680176,-0.215,0.408
-4.4449973,-45.2307129,0.521,0.491
-17.0672871,-43.7365723,-0.614,0.399
-25.9284066,-51.2512207,-0.081,0.438
-5.4082108,-42.8576660,-0.363,0.431
-7.0899903,-40.2429199,-0.745,0.372
-21.9532352,-51.2951660,-0.492,0.449
-22.8065667,-45.8679199,0.120,0.418
-14.2963234,-40.3967285,-0.651,0.411
-4.6640299,-44.8352051,-0.278,0.427
-7.0027636,-46.4831543,-0.827,0.340
-29.5256700,-51.0534668,0.810,0.435
-27.0689087,-52.7233887,0.200,0.444
-4.5764249,-39.5397949,-0.738,0.372
-24.0564961,-48.6584473,-0.758,0.377
-16.2674138,-41.8029785,-0.649,0.355
-3.5243866,-44.6594238,-1.010,0.370
-4.8392069,-40.3308105,0.944,0.473
-11.1245072,-39.7375488,-0.683,0.362
-6.9155204,-39.7155762,-0.317,0.385
-10.9735497,-44.7253418,-0.387,0.340
-28.4493734,-51.8005371,-0.789,0.414
-3.9190595,-50.2844238,-0.904,0.345
-19.2385495,-40.4626465,-0.465,0.410
-23.3321679,-51.5368652,0.729,0.476
-2.1637921,-49.0979004,-0.463,0.371
-20.5196439,-43.8464355,0.711,0.409
-29.4874244,-50.3942871,-0.600,0.402
-3.8094460,-42.7258301,-0.772,0.351
